College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"MTCE Peddapalli - Mother Theressa College of Engineering and Technology, Peddapalli",Karimnagar, Telangana,Private,Null,B.E /B.Tech (8 Courses),Null,Null
"Moti Babu Institute of Technology, Forbesanj",Forbesganj, Bihar,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Moti Babu Institute of Technology, Patna",Patna, Bihar,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Motichand Lengade Bharatesh Polytechnic, Belgaum",Belgaum, Karnataka,Private,Null,Null,Null,5.0/5
"MCE Motihari - Motihari College of Engineering, Motihari",Fursatpur, Bihar,Government,Null,B.E /B.Tech (6 Courses),Null,2.8/5
"Motilal Nehru Government Polytechnic College, Puducherry",Puducherry, Puducherry,Government,Null,Null,Null,Null
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,Allahabad, Uttar Pradesh,Government,Null,B.E /B.Tech (10 Courses),M.E /M.Tech. (25 Courses),4.5/5
"Mount Carmel College, Bangalore",Bangalore, Karnataka,Private,   1.67 L,Null,Null,4.6/5
"Mount Faran Polytechnic, Hubli",Hubli, Karnataka,Private,Null,Null,Null,Null
"Mount Mary College, Chumukedima",Chumukedima, Nagaland,Private,Null,Null,Null,Null
"Mount Zion College of Engineering and Technology, Pudukkottai",Ennapatti, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (4 Courses),3.8/5
"MZCE Pathanamthitta - Mount Zion College of Engineering, Pathanamthitta",Pathanamthitta, Kerala,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (2 Courses),1.5/5
"Mount Zion Institute of Science and Technology, Alappuzha",Alappuzha, Kerala,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"MP Nachimuthu M Jaganathan Engineering College, Chennimalai",Erode, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (5 Courses),Null
"MP School of Engineering, Varanasi",Bhagatua, Uttar Pradesh,Private,   84 K,B.E /B.Tech (6 Courses),Null,Null
"MPS Polytechnic College, Muzaffarpur",Muzaffarpur, Bihar,Private,Null,Null,Null,Null
"MRK College of Architecture, Veeravasaram",West Godavari, Andhra Pradesh,Private,Null,Null,Null,Null
"MRK Institute of Technology, Cuddalore",Kattumannarkoil, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (2 Courses),3.0/5
"MRK Polytechnic College, Cuddalore",Cuddalore, Tamil Nadu,Private,Null,Null,Null,Null
"MS Bidve Engineering College, Latur",Latur, Maharashtra,Private,   3.53 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (4 Courses),4.0/5
"MSD Polytechnic College, Azamgarh",Azamgarh, Uttar Pradesh,Private,   90.45 K,Null,Null,Null
"MSEC Bangalore - MS Engineering College, Bangalore",Bangalore, Karnataka,Private,Null,B.E /B.Tech (6 Courses),Null,3.8/5
"MSME Central Tool Room and Training Centre, Kolkata",Kolkata, West Bengal,Government,Null,Null,Null,Null
"MSME Technology Centre, Bhiwadi",Bhiwadi, Rajasthan,Government,   1.14 L,Null,Null,Null
"MSME Technology Centre, Bhopal",Bhopal, Madhya Pradesh,Government,   6.08 L,Null,Null,Null
"MSME Technology Centre, Durg",Durg, Chhattisgarh,Government,   1.24 L,Null,Null,Null
"MSME Technology Centre, Rohtak",Rohtak, Haryana,Government,   99.42 K,Null,Null,Null
"MSME Technology Centre, Sitarganj",Sitarganj, Uttarakhand,Government,Null,Null,Null,Null
"MSME Technology Centre, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Government,   1.65 L,Null,Null,Null
"MSMS Rural Polytechnic, Marali",Gangavathi, Karnataka,Private,Null,Null,Null,Null
"MS Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"MS Polytechnic College, Pudukkottai",Pannankulam, Tamil Nadu,Private,Null,Null,Null,Null
"MSPVL Polytechnic College, Tirunelveli",Sivagamipuram, Tamil Nadu,Private,Null,Null,Null,4.0/5
"MS Ramaiah Polytechnic, Bangalore",Bangalore, Karnataka,Private,   40.22 K,Null,Null,Null
"MSRUAS Bangalore - MS Ramaiah University of Applied Sciences, Bangalore",Bangalore, Karnataka,Private,   4.80 L,B.E /B.Tech (16 Courses),M.E /M.Tech. (14 Courses),4.4/5
"Muchhala Polytechnic, Thane",Thane, Maharashtra,Private,Null,Null,Null,Null
"MJCET Hyderabad - Muffakham Jah College of Engineering and Technology, Hyderabad",Hyderabad, Telangana,Private,   5.10 L,B.E /B.Tech (21 Courses),M.E /M.Tech. (5 Courses),4.2/5
"Mukdam Bihari Lal College of Technology and Management, Mathura",Mathura, Uttar Pradesh,Private,Null,Null,Null,Null
"MPSTME Mumbai - Mukesh Patel School of Technology Management and Engineering, Mumbai",Mumbai, Maharashtra,Private,   16 L,B.E /B.Tech (11 Courses),Null,3.9/5
"Mukesh Patel School of Technology Management and Engineering, Shirpur",Shirpur, Maharashtra,Private,   14.50 L,B.E /B.Tech (4 Courses),Null,4.6/5
"Mukhi Polytechnic, Sonepat",Gohana, Haryana,Private,Null,Null,Null,Null
"Mulagondla Pakira Reddy Memorial Polytechnic, Guntur",Guntur, Andhra Pradesh,Private,Null,Null,Null,Null
"Mumtaz College of Engineering and Technology, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Murarai Government Polytechnic, Murarai",Murarai, West Bengal,Government,Null,Null,Null,Null
"Murli Manohar Agrawal Institute of Technology, Mathura",Mathura, Uttar Pradesh,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"Murshidabad College of Engineering and Technology, Murshidabad",Berhampore, West Bengal,Government,   2.67 L,B.E /B.Tech (4 Courses),Null,Null
"Murshidabad Institute of Technology, Murshidabad",Murshidabad, West Bengal,Government,   4.05 K,Null,Null,Null
"Murthy Institute of Technology and Science, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"Muruga Polytechnic College, Villupuram",Villupuram, Tamil Nadu,Private,Null,Null,Null,Null
"Murugappa Polytechnic College, Chennai",Chennai, Tamil Nadu,Government,Null,Null,Null,Null
"Murugesan Institute of Technology, Salem",Salem, Tamil Nadu,Private,Null,Null,Null,Null
"Musaliar College of Engineering and Technology, Pathanamthitta",Pathanamthitta, Kerala,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (2 Courses),3.0/5
"Musaliar College of Engineering, Thiruvananthapuram",Thiruvananthapuram, Kerala,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Musiri Institute of Technology Polytechnic College, Pudupatti",M.Pudupatti East, Tamil Nadu,Private,Null,Null,Null,Null
"Muslim Arts College, Thiruvithancode",Kanyakumari, Tamil Nadu,Private,Null,Null,Null,Null
"Muslim Association College of Engineering, Thiruvananthapuram",Thiruvananthapuram, Kerala,Private,   2 L,B.E /B.Tech (5 Courses),Null,3.2/5
"Muthayammal College of Arts and Science, Namakkal",Rasipuram, Tamil Nadu,Private,Null,Null,Null,5.0/5
"Muthayammal College of Engineering, Namakkal",Rasipuram, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),Null,4.0/5
"Muthayammal Engineering College, Namakkal",Namakkal, Tamil Nadu,Private,Null,B.E /B.Tech (17 Courses),M.E /M.Tech. (5 Courses),4.2/5
"Muthayammal Polytechnic College, Rasipuram",Rasipuram, Tamil Nadu,Private,Null,Null,Null,Null
"Muthayammal Polytechnic Institution, Rasipuram",Rasipuram, Tamil Nadu,Private,Null,Null,Null,Null
"Muthiah Polytechnic College, Annamalainagar",Kezhanuvampattu, Tamil Nadu,Private,Null,Null,Null,Null
"MITS Ernakulam - Muthoot Institute of Technology and Science, Ernakulam",Ernakulam, Kerala,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (2 Courses),4.4/5
"Muzaffarpur College of Professional Education, Muzaffarpur",Muzaffarpur, Bihar,Private,Null,Null,Null,Null
"MIT Muzaffarpur - Muzaffarpur Institute of Technology, Muzaffarpur",Muzaffarpur, Bihar,Government,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (3 Courses),3.9/5
"MVJ College of Engineering, Bangalore",Bangalore, Karnataka,Private,Null,B.E /B.Tech (15 Courses),M.E /M.Tech. (7 Courses),3.6/5
"MVJ Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"MVN JS and RVR College of Arts and Science, Malikipuram",Malikipuram, Andhra Pradesh,Private,Null,Null,Null,Null
"MVN University, Palwal",Palwal, Haryana,Private,   4.54 L,Null,Null,4.0/5
"MVR College of Engineering and Technology, Krishna",Krishna, Andhra Pradesh,Private,   1.72 L,B.E /B.Tech (6 Courses),Null,4.6/5
"MVR College of Engineering, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,4.5/5
"MVSR Engineering College, Hyderabad",Hyderabad, Telangana,Private,   5.20 L,B.E /B.Tech (14 Courses),M.E /M.Tech. (4 Courses),4.4/5
"MYCEM Mysore - Mysore College of Engineering and Management, Mysore",Mysuru, Karnataka,Private,Null,B.E /B.Tech (7 Courses),Null,3.0/5
"Mysore School of Architecture, Mysore",Mysuru, Karnataka,Private,Null,Null,Null,Null
"Mysuru Royal Institute of Technology, Mandya",Mandya, Karnataka,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nachiappa Swamigal Polytechnic College, Sivaganga",Sivaganga, Tamil Nadu,Private,Null,Null,Null,Null
"Nachiketa College of Computer Science Commerce and Advanced Technology, Jabalpur",Jabalpur, Madhya Pradesh,Private,Null,Null,Null,3.6/5
"Nachimuthu Polytechnic College, Pollachi",Pollachi, Tamil Nadu,Government,Null,Null,Null,Null
"Nadar Mahajana Sangam Kamaraj Polytechnic College, Kanyakumari",Pazhavilai, Tamil Nadu,Private,Null,Null,Null,Null
"Nadar Saraswathi College of Arts and Science, Theni",Theni, Tamil Nadu,Private,Null,Null,Null,Null
"Nadar Saraswathi College of Engineering and Technology, Theni",Theni, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (2 Courses),Null
"Nadgir Institute of Engineering and Technology, Bangalore",Bangalore, Karnataka,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"Nadgir Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Nadimpalli Satyanarayana Raju Institute of Technology, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,   1.72 L,B.E /B.Tech (8 Courses),Null,4.3/5
"Nagaji Institute of Technology and Management, Datia",Datia, Madhya Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (6 Courses),Null
"NITM GWALIOR - Nagaji Institute of Technology and Management, Gwalior",Gwalior, Madhya Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (6 Courses),3.5/5
"Nagaland Tool Room and Training Centre, Dimapur",Dimapur, Nagaland,Government,   1.01 L,Null,Null,Null
"NCET Bangalore - Nagarjuna College of Engineering and Technology, Bangalore",Bangalore, Karnataka,Private,   10.73 L,B.E /B.Tech (6 Courses),Null,4.0/5
"Nagarjuna Institute of Engineering Technology and Management, Nagpur",Satnavari, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nagarjuna Institute of Technology and Sciences, Miryalguda",Nalgonda, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nagar Yuvak Shikshak Sanstha, NYSS College of Engineering and Research, Nagpur",Nagpur, Maharashtra,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (5 Courses),2.5/5
"Nagasiva Polytechnic College, Madurai",Virathanoor, Tamil Nadu,Private,Null,Null,Null,Null
"NKOCET Solapur - Nagesh Karajgi Orchid College of Engineering and Technology, Solapur",Hipparge, Maharashtra,Private,   4.18 L,B.E /B.Tech (11 Courses),M.E /M.Tech. (2 Courses),3.3/5
"Nagindas Khandwala College, Mumbai",Mumbai, Maharashtra,Private,Null,Null,Null,4.1/5
"Nagnathappa Halge College of Engineering, Beed",Parli, Maharashtra,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"NIT Nagpur - Nagpur Institute of Technology, Nagpur",Mahurzari, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,3.6/5
"NCE Chandi - Nalanda College of Engineering, Chandi",Dasturpar, Bihar,Government,   16.48 K,B.E /B.Tech (6 Courses),Null,4.2/5
"Nalanda Degree College, Ananthapuramu",Ananthapur, Andhra Pradesh,Private,Null,Null,Null,4.5/5
"Nalanda Degree College, Vijayawada",Vijayawada, Andhra Pradesh,Private,Null,Null,Null,3.8/5
"Nalanda Foundations Polytechnic, Dharwad",Dharwad, Karnataka,Private,Null,Null,Null,Null
"Nalanda Institute of Technology, Chandaka",Bhubaneswar, Odisha,Private,   3.60 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (2 Courses),3.6/5
"Nalanda Institute of Technology, Guntur",Guntur, Andhra Pradesh,Private,   1.40 L,B.E /B.Tech (4 Courses),M.E /M.Tech. (3 Courses),2.5/5
"Nalbari Polytechnic, Chandkuchi",Nalbari, Assam,Government,   19.85 K,Null,Null,Null
"Nalgonda Institute of Technology and Science, Nalgonda",Nalgonda, Telangana,Private,   1.40 L,B.E /B.Tech (4 Courses),M.E /M.Tech. (2 Courses),Null
"Nalhati Government Polytechnic, Birbhum",Birbhum, West Bengal,Government,Null,Null,Null,Null
"Nalin Institute of Technology, Indore",Mhow, Madhya Pradesh,Private,Null,B.E /B.Tech (7 Courses),Null,Null
"Nalla Malla Reddy Engineering College, Ghatkesar",Hyderabad, Telangana,Private,   3.80 L,B.E /B.Tech (7 Courses),M.E /M.Tech. (4 Courses),3.6/5
"NNRG Hyderabad - Nalla Narsimha Reddy Education Society's Group of Institutions, Ghatkesar",Hyderabad, Telangana,Private,   3.85 L,B.E /B.Tech (8 Courses),Null,4.0/5
"NA Manjammal Polytechnic College, Rajapalayam",Rajapalayam, Tamil Nadu,Private,   75 K,Null,Null,Null
"Namdeorao Poreddiwar College of Engineering and Technology, Gadchiroli",Gadchiroli, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nanasaheb Mahadik College of Engineering, Sangli",Ashta, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nanasaheb Mahadik Polytechnic Institute, Sangli",Peth, Maharashtra,Private,   1.50 L,Null,Null,Null
"Nanasaheb Yashvantrao Narayanrao Chavan Arts, Science and Commerce College, Chalisgaon",Chalisgaon, Maharashtra,Private,Null,Null,Null,3.0/5
"Nancy Polytechnic, Samana",Samana, Punjab,Private,Null,Null,Null,Null
"Nandha College of Technology, Erode",Vailkaalmedu, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (2 Courses),Null
"Nandha Engineering College, Erode",Erode, Tamil Nadu,Private,Null,B.E /B.Tech (12 Courses),M.E /M.Tech. (4 Courses),4.0/5
"Nandha Polytechnic College, Erode",Perundurai, Tamil Nadu,Private,Null,Null,Null,Null
"Nandi Institute of Technology and Management Sciences, Bangalore",Kanakapura, Karnataka,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nandini Nagar Technical Campus, Gonda",Gonda, Uttar Pradesh,Private,Null,B.E /B.Tech (2 Courses),Null,Null
"Nanhi Pari Seemant Engineering Institute, Pithoragarh",Pithoragarh, Uttarakhand,Government,   3.78 L,B.E /B.Tech (5 Courses),Null,2.3/5
"Nanjappa Polytechnic College, Coimbatore",Karumathampatti, Tamil Nadu,Private,Null,Null,Null,Null
"Nanjiah Lingammal Polytechnic College, Coimbatore",Coimbatore, Tamil Nadu,Private,Null,Null,Null,Null
"Nannapaneni Venkat Rao College of Engineering and Technology, Guntur",Guntur, Andhra Pradesh,Private,Null,B.E /B.Tech (7 Courses),Null,Null
"Naorem Birahari College, Imphal",Imphal, Manipur,Government,Null,Null,Null,Null
"Naraina College of Engineering and Technology, Kanpur",Kanpur, Uttar Pradesh,Private,Null,B.E /B.Tech (10 Courses),M.E /M.Tech. (4 Courses),1.5/5
"Naraina Polytechnic Institute, Kanpur",Kanpur Nagar, Uttar Pradesh,Private,Null,Null,Null,Null
"Naraina School of Planning and Architecture, Kanpur",Kanpur Dehat, Uttar Pradesh,Private,Null,Null,Null,Null
"NVPEMI Kanpur - Naraina Vidya Peeth Engineering and Management Institute, Kanpur",Kanpur, Uttar Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,2.0/5
"Naraini Group of Institutions, Karnal",Chirao, Haryana,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Nara Kharjura Naidu Government Polytechnic, Cheepurupalli",Vizianagaram, Andhra Pradesh,Government,   11.90 K,Null,Null,Null
"Narasaraopeta Engineering College, Narasaraopet",Narasaraopet, Andhra Pradesh,Private,   2.42 L,B.E /B.Tech (11 Courses),M.E /M.Tech. (8 Courses),4.2/5
"Narasaraopeta Institute of Technology, Narasaraopet",Narasaraopet, Andhra Pradesh,Private,Null,B.E /B.Tech (4 Courses),M.E /M.Tech. (2 Courses),Null
"Narasimma Pallavan Polytechnic College, Kanchipuram",Kanchipuram, Tamil Nadu,Private,Null,Null,Null,5.0/5
"Narasu's Sarathy Institute of Technology, Salem",Salem, Tamil Nadu,Private,   2.02 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (2 Courses),Null
"Narayanadri Institute of Science and Technology, Cuddapah",Kadapa, Andhra Pradesh,Private,   1.40 L,B.E /B.Tech (5 Courses),Null,Null
"Narayana Engineering and Technical Campus, Hayathnagar",Hyderabad, Telangana,Private,   1.14 L,B.E /B.Tech (3 Courses),M.E /M.Tech. (3 Courses),Null
"Narayana Engineering College, Gudur",Gudur, Andhra Pradesh,Private,   1.80 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),4.8/5
"NEC Nellore - Narayana Engineering College, Nellore",Nellore, Andhra Pradesh,Private,   1.80 L,B.E /B.Tech (10 Courses),M.E /M.Tech. (3 Courses),4.2/5
"Narayanaguru College of Engineering, Kanyakumari",Mancode, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (6 Courses),3.0/5
"Narayanaguru Siddhartha College of Engineering, Kanyakumari",Kaliakkavilai, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Narayana Polytechnic, Srikakulam",Srikakulam, Andhra Pradesh,Private,Null,Null,Null,Null
"Narayani Institute of Engineering And Technology, Angul",Angul, Odisha,Private,Null,Null,Null,Null
"Narendra College of Architecture, Ballabgarh",Faridabad, Haryana,Private,Null,Null,Null,Null
"Narmada College of Science and Commerce, Bharuch",Bharuch, Gujarat,Private,Null,Null,Null,2.3/5
"Narnarayan Shastri Institute of Technology, Ahmedabad",Ahmedabad, Gujarat,Private,   2.52 L,B.E /B.Tech (6 Courses),Null,3.6/5
"NMIMS Bangalore - Narsee Monjee Institute of Management Studies, Bangalore",Bangalore, Karnataka,Private,   4.80 L,Null,Null,4.1/5
"NMIMS Indore - Narsee Monjee Institute of Management Studies, Indore",Indore, Madhya Pradesh,Private,   8.08 L,Null,Null,4.6/5
"Narsee Monjee Institute of Management Studies, Shirpur",Savalade, Maharashtra,Private,Null,B.E /B.Tech (4 Courses),Null,4.5/5
"Narsimha Reddy Engineering College, Ranga Reddy",Hyderabad, Telangana,Private,   2.76 L,B.E /B.Tech (9 Courses),Null,4.1/5
"NIT Kolkata - Narula Institute of Technology, Agarpara",Kolkata, West Bengal,Private,   5.50 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (5 Courses),4.3/5
"Nathdwara Institute of Engineering and Technology, Nathdwara",Nathdwara, Rajasthan,Private,   1.80 L,B.E /B.Tech (4 Courses),Null,Null
"Nath Polytechnic, Paithan",Aurangabad, Maharashtra,Private,   1.16 L,Null,Null,Null
"National Backward Krushi Vidyapeet, Solapur",Solapur, Maharashtra,Government,Null,Null,Null,Null
"National Centre for Aquatic Animal Health, Cochin University of Science and Technology, Cochin",Ernakulam, Kerala,Government,Null,Null,Null,Null
"National College of Arts and Science, Thiruvananthapuram",Thiruvananthapuram, Kerala,Private,Null,Null,Null,4.5/5
"National College of Polytechnic, Yamuna Nagar",Jagadhri, Haryana,Private,Null,Null,Null,Null
"National College, Tiruchirappalli",Tiruchirappalli, Tamil Nadu,Private,Null,Null,Null,4.6/5
"National Council for Cement and Building Materials, Faridabad",Faridabad, Haryana,Government,Null,Null,Null,Null
"NDRI Karnal - National Dairy Research Institute, Karnal",Karnal, Haryana,Government,Null,Null,M.E /M.Tech. (2 Courses),5.0/5
"NDA Pune - National Defence Academy, Pune",Pune, Maharashtra,Government,Null,B.E /B.Tech (3 Courses),Null,Null
"NEC Kovilpatti - National Engineering College, Kovilpatti",Thoothukudi, Tamil Nadu,Private,   2.20 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (5 Courses),4.2/5
"NFSC Nagpur - National Fire Service College, Nagpur",Nagpur, Maharashtra,Government,Null,Null,Null,5.0/5
"NFSU Gandhinagar - National Forensic Sciences University, Gandhinagar",Gandhinagar, Gujarat,Government,Null,Null,M.E /M.Tech. (2 Courses),4.2/5
"NIFFT Ranchi - National Institute of Advanced Manufacturing Technology, Ranchi",Ranchi, Jharkhand,Government,   3.15 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (5 Courses),4.7/5
"National Institute of Aeronautical Engineering Research and Management, New Delhi",New Delhi, Delhi,Private,   3.95 L,Null,Null,Null
NID Ahmedabad - National Institute of Design Ahmedabad,Ahmedabad, Gujarat,Government,   15.83 L,Null,Null,4.5/5
NID Vijayawada - National Institute of Design Andhra Pradesh Vijayawada,Vijayawada, Andhra Pradesh,Government,   7.51 L,Null,Null,Null
NID Assam - National Institute of Design Assam Jorhat,Jorhat, Assam,Government,   9.18 L,Null,Null,Null
NID Kurukshetra - National Institute of Design Haryana Kurukshetra,Kurukshetra, Haryana,Government,   10.20 L,Null,Null,4.0/5
NID Bhopal - National Institute of Design Madhya Pradesh Bhopal,Bhopal, Madhya Pradesh,Government,   10.93 L,Null,Null,Null
"NIELIT Agartala - National Institute of Electronics and Information Technology, Agartala",Agartala, Tripura,Government,   1.11 L,Null,Null,Null
"NIELIT Aizawl - National Institute of Electronics and Information Technology, Aizawl",Aizawl, Mizoram,Government,Null,Null,Null,Null
"NIELIT Aurangabad - National Institute of Electronics and Information Technology, Aurangabad",Aurangabad, Maharashtra,Government,   1.38 L,Null,Null,2.5/5
"NIELIT Calicut - National Institute of Electronics and Information Technology, Calicut",Kozhikode, Kerala,Government,   2.63 L,Null,M.E /M.Tech. (2 Courses),Null
"National Institute of Electronics and Information Technology, Delhi",New Delhi, Delhi,Government,Null,Null,Null,Null
"NIELIT Gorakhpur - National Institute of Electronics and Information Technology, Gorakhpur",Gorakhpur, Uttar Pradesh,Government,   1.22 L,Null,M.E /M.Tech. (2 Courses),Null
"NIELIT Imphal - National Institute of Electronics and Information Technology, Imphal",Imphal, Manipur,Government,   1.09 L,Null,Null,Null
"NIELIT Kohima - National Institute of Electronics and Information Technology, Kohima",Kohima, Nagaland,Government,Null,Null,Null,Null
"NIFT Chennai - National Institute of Fashion Technology, Chennai",Chennai, Tamil Nadu,Government,   13.30 L,Null,Null,3.3/5
"NIFT Delhi - National Institute of Fashion Technology, Delhi",New Delhi, Delhi,Government,   14.12 L,Null,Null,4.3/5
"NIFT Raebareli - National Institute of Fashion Technology, Raebareli",Raebareli, Uttar Pradesh,Government,   11.47 L,Null,Null,4.2/5
"National Institute of Fire Engineering and Safety Management, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Government,Null,Null,Null,Null
"NIFTEM Sonepat - National Institute of Food Technology Entrepreneurship and Management, Sonepat",Sonipat, Haryana,Government,   6.67 L,Null,M.E /M.Tech. (5 Courses),4.1/5
"NIFTEM-T - National Institute of Food Technology, Entrepreneurship and Management, Thanjavur",Thanjavur, Tamil Nadu,Government,   2.61 L,Null,M.E /M.Tech. (3 Courses),5.0/5
"NIO Dona Paula - National Institute of Oceanography, Dona",Dona, Goa,Government,Null,Null,Null,Null
NIPER Guwahati - National Institute of Pharmaceutical Education and Research Guwahati,Guwahati, Assam,Government,   2.04 L,Null,Null,4.2/5
NIPER Hyderabad - National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad, Telangana,Government,   1.66 L,Null,Null,4.7/5
NIPER Kolkata - National Institute of Pharmaceutical Education and Research Kolkata,Kolkata, West Bengal,Government,   2.04 L,Null,Null,4.0/5
NIPER Mohali - National Institute of Pharmaceutical Education and Research SAS Nagar,Sahibzada Ajit Singh Nagar, Punjab,Government,   1.50 L,Null,M.E /M.Tech. (2 Courses),4.6/5
"NIST Berhampur - National Institute of Science and Technology, Berhampur",Berhampur, Odisha,Private,   6.68 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (6 Courses),4.0/5
"NITTR Bhopal - National Institute of Technical Teachers Training and Research, Bhopal",Bhopal, Madhya Pradesh,Government,Null,Null,M.E /M.Tech. (5 Courses),Null
"NITTTR Chandigarh - National Institute of Technical Teachers Training and Research, Chandigarh",Chandigarh, Chandigarh,Government,Null,Null,M.E /M.Tech. (18 Courses),Null
"National Institute of Technical Teachers Training and Research, Chennai",Chennai, Tamil Nadu,Government,Null,Null,Null,Null
"National Institute of Technical Teachers Training and Research, Kolkata",Kolkata, West Bengal,Government,Null,Null,M.E /M.Tech. (4 Courses),Null
NIT Agartala - National Institute of Technology Agartala,Agartala, Tripura,Government,   5.63 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (24 Courses),4.4/5
NIT Andhra Pradesh - National Institute of Technology Andhra Pradesh,West Godavari, Andhra Pradesh,Government,   5.45 L,B.E /B.Tech (8 Courses),Null,4.1/5
NIT Arunachal Pradesh - National Institute of Technology Arunachal Pradesh,Papum Pare, Arunachal Pradesh,Government,   5.58 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (6 Courses),3.8/5
NIT Calicut - National Institute of Technology Calicut,Kozhikode, Kerala,Government,   5.62 L,B.E /B.Tech (10 Courses),M.E /M.Tech. (26 Courses),4.4/5
NIT Delhi - National Institute of Technology Delhi,New Delhi, Delhi,Government,   6.37 L,B.E /B.Tech (7 Courses),M.E /M.Tech. (8 Courses),4.0/5
NIT Durgapur - National Institute of Technology Durgapur,Durgapur, West Bengal,Government,   5.77 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (23 Courses),4.0/5
NIT Goa - National Institute of Technology Goa,Ponda, Goa,Government,   5.30 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (3 Courses),3.9/5
NIT Hamirpur (NITH) - National Institute of Technology Hamirpur,Hamirpur, Himachal Pradesh,Government,   6.86 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (19 Courses),4.5/5
NIT Jamshedpur - National Institute of Technology Jamshedpur,Jamshedpur, Jharkhand,Government,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (17 Courses),4.4/5
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,Mangalore, Karnataka,Government,   5.72 L,B.E /B.Tech (11 Courses),M.E /M.Tech. (54 Courses),4.4/5
NIT Kurukshetra - National Institute of Technology Kurukshetra,Kurukshetra, Haryana,Government,   5.86 L,B.E /B.Tech (10 Courses),M.E /M.Tech. (22 Courses),4.2/5
NIT Manipur (NITMN) - National Institute of Technology Manipur,Imphal, Manipur,Government,   5.46 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (6 Courses),3.4/5
NIT Meghalaya - National Institute of Technology Meghalaya,Shillong, Meghalaya,Government,   5.70 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (9 Courses),4.0/5
NIT Mizoram - National Institute of Technology Mizoram,Aizawl, Mizoram,Government,   5.41 L,B.E /B.Tech (7 Courses),Null,3.6/5
