College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"Adesh Institute of Technology, Gharuan",Gharuan, Punjab,Private,Null,B.E /B.Tech (5 Courses),Null,1.6/5
"Adesh Polytechnic College, Sri Muktsar Sahib",Marh Mallu, Punjab,Private,Null,Null,Null,Null
"Adharshila College of Professional Courses, Raebareli",Raebareli, Uttar Pradesh,Private,Null,Null,Null,Null
"Adhi College of Engineering and Technology, Kancheepuram",Kancheepuram, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (2 Courses),4.5/5
"Adhiparasakthi College of Engineering, Vellore",Vellore, Tamil Nadu,Private,   1 L,B.E /B.Tech (6 Courses),Null,4.0/5
"Adhiparasakthi Engineering College, Kancheepuram",Kancheepuram, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (5 Courses),3.3/5
"Adhiparasakthi Polytechnic College, Melmaruvathur",Melmaruvathur, Tamil Nadu,Private,Null,Null,Null,Null
"Adhiparasakthi Polytechnic College, Pappireddipatti",Pappireddipatti, Tamil Nadu,Private,Null,Null,Null,Null
"Adhiyamaan College of Engineering, Hosur",Krishnagiri, Tamil Nadu,Private,Null,B.E /B.Tech (11 Courses),M.E /M.Tech. (5 Courses),3.9/5
"Adhiyamaan Polytechnic College, Krishnagiri",Krishnagiri, Tamil Nadu,Private,Null,Null,Null,Null
"Adhunik College of Engineering, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"AIT Chikmagalur - Adichunchanagiri Institute of Technology, Chikmagalur",Chikmagalūr, Karnataka,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (6 Courses),4.0/5
"Adichunchanagiri Polytechnic College, Chickmagaluru",Chikmagalūr, Karnataka,Private,Null,Null,Null,Null
"Adichunchanagiri University, Mandya",Mandya, Karnataka,Private,Null,Null,M.E /M.Tech. (2 Courses),Null
"Adikavi Nannaya University, MSN Campus, Kakinada",Kakinada, Andhra Pradesh,Government,Null,Null,Null,4.0/5
"Adikavi Nannaya University, Rajahmundry",Rajahmundry, Andhra Pradesh,Government,Null,B.E /B.Tech (5 Courses),Null,4.1/5
"ADINA Institute of Science and Technology, Sagar",Lahdara, Madhya Pradesh,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (3 Courses),Null
"ASIET Kalady - Adi Shankara Institute of Engineering and Technology, Kalady",Ernakulam, Kerala,Private,   3.28 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (4 Courses),4.0/5
"Adithya Institute of Technology, Coimbatore",Kurumbapalayam, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (4 Courses),Null
"Aditya Academy of Architecture and Design, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Aditya College of Architecture, Mumbai",Mumbai, Maharashtra,Private,Null,Null,Null,5.0/5
"Aditya College of Engineering and Advanced Studies, Ahmedabad",Ahmedabad, Gujarat,Private,Null,B.E /B.Tech (2 Courses),Null,Null
"Aditya College of Engineering and Technology, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Aditya College of Engineering and Technology, Surampalem",East Godavari, Andhra Pradesh,Private,Null,B.E /B.Tech (8 Courses),Null,4.6/5
"Aditya College of Engineering, Chittoor",Madanapalle, Andhra Pradesh,Private,   1.72 L,B.E /B.Tech (6 Courses),Null,4.4/5
"Aditya College of Engineering, Surampalem",East Godavari, Andhra Pradesh,Private,Null,B.E /B.Tech (9 Courses),Null,4.7/5
"ACTS Satna - Aditya College of Technology and Science, Satna",Satna, Madhya Pradesh,Private,Null,B.E /B.Tech (7 Courses),Null,Null
"Aditya Degree College, Asilmetta",Visakhapatnam, Andhra Pradesh,Private,Null,Null,Null,5.0/5
"Aditya Degree College, Gajuwaka",Visakhapatnam, Andhra Pradesh,Private,Null,Null,Null,4.5/5
"Aditya Degree College, Kakinada",Kakinada, Andhra Pradesh,Private,Null,Null,Null,4.7/5
"Aditya Degree College, Surampalem",East Godavari, Andhra Pradesh,Private,Null,Null,Null,3.8/5
"Aditya Degree College Womens, Kakinada",Kakinada, Andhra Pradesh,Private,Null,Null,Null,4.3/5
"Aditya Engineering College, Beed",Beed, Maharashtra,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (3 Courses),Null
"Aditya Engineering College, Surampalem",Surampalem, Andhra Pradesh,Private,Null,B.E /B.Tech (11 Courses),Null,4.2/5
"AITAM Tekkali - Aditya Institute of Technology and Management, Tekkali",Srikakulam, Andhra Pradesh,Private,   2.45 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (5 Courses),4.4/5
"Aditya Institute of Technology, Delhi",New Delhi, Delhi,Private,   72 K,Null,Null,Null
"Aditya Polytechnic College, Beed",Beed, Maharashtra,Private,Null,Null,Null,Null
"Aditya Polytechnic, Lanja",Lanja, Maharashtra,Private,Null,Null,Null,Null
"Aditya Silver Oak Institute of Technology, Ahmedabad",Ahmedabad, Gujarat,Private,Null,B.E /B.Tech (9 Courses),Null,4.7/5
"ADJ Dharmambal Polytechnic College, Nagapattinam",Nagapattinam, Tamil Nadu,Government,   24 K,Null,Null,Null
"ADIT Anand - AD Patel Institute of Technology, Anand",Anand, Gujarat,Private,   4.24 L,B.E /B.Tech (11 Courses),M.E /M.Tech. (6 Courses),4.1/5
"ADRS Institute of Technology and Management, Aligarh",Aligarh, Uttar Pradesh,Private,Null,Null,Null,Null
"Adsul's Technical Campus, Ahmednagar",Chas, Maharashtra,Private,   3.36 L,B.E /B.Tech (5 Courses),Null,Null
"Adusumalli Vijaya College of Engineering and Research Centre, Nalgonda",Nalgonda, Telangana,Private,Null,B.E /B.Tech (8 Courses),Null,Null
"Adusumilli Vijaya Institute of Technology and Research Centre, Nalgonda",Nalgonda, Telangana,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (7 Courses),Null
"Advait Vedanta Institute of Technology, Jaipur",Jaipur, Rajasthan,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"ACTM Palwal - Advanced College of Technology and Management, Palwal",Aurangabad, Haryana,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"AITM Palwal - Advanced Institute of Technology and Management, Palwal",Palwal, Haryana,Private,   3.12 L,B.E /B.Tech (7 Courses),M.E /M.Tech. (3 Courses),5.0/5
"Advanced Plastics Processing Technology Centre, Balasore",Balasore, Odisha,Government,   90.75 K,Null,Null,Null
"Advanced Plastics Product Simulation and Evaluation Centre, Tamot",Raisen, Madhya Pradesh,Government,Null,Null,Null,Null
"Advanced Technical Training Centre, Sikkim",East Sikkim, Sikkim,Government,Null,Null,Null,Null
"AMIT Banka - Adwaita Mission Institute of Technology, Maniyarpur",Maniyarpur, Bihar,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Adyapeath Annada Polytechnic College, Kolkata",Kolkata, West Bengal,Private,Null,Null,Null,Null
"AECS Pavan Polytechnic, Kolar",Kolar, Karnataka,Private,   38.40 K,Null,Null,Null
"Aero Institute of Technology, Namakkal",Namakkal, Tamil Nadu,Private,Null,Null,Null,Null
"Aeronautical Training Institute, Lucknow",Lucknow, Uttar Pradesh,Government,Null,Null,Null,Null
"AERP Institute of Technology and Management, Palwal",Palwal, Haryana,Private,Null,Null,Null,Null
"Aesthetic of Interiors Academy, Hyderabad",Hyderabad, Telangana,Private,Null,Null,Null,Null
"A1 Global Institute of Engineering and Technology, Prakasam",Prakasam, Andhra Pradesh,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (5 Courses),5.0/5
"AGM Rural College of Engineering and Technology, Hubli",Hubli, Karnataka,Private,Null,B.E /B.Tech (8 Courses),Null,2.4/5
"AGM Rural Polytechnic, Dharwad",Dharwad, Karnataka,Private,Null,Null,Null,Null
"Agnel Institute of Technology and Design, Goa",Assagao, Goa,Private,   4.88 L,B.E /B.Tech (3 Courses),Null,Null
"Agnel Polytechnic, Goa",Goa, Goa,Private,Null,Null,Null,Null
"Agnel Polytechnic, Vashi",Navi Mumbai, Maharashtra,Private,   2.55 L,Null,Null,4.8/5
"Agnel Technical College, Mumbai",Mumbai, Maharashtra,Government,Null,Null,Null,Null
"Agni College of Technology, Thalambur",Thalambur, Tamil Nadu,Private,Null,B.E /B.Tech (12 Courses),M.E /M.Tech. (6 Courses),4.6/5
"Agnihotri College of Engineering, Wardha",Wardha, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,5.0/5
"Agnihotri Polytechnic, Wardha",Wardha, Maharashtra,Private,Null,Null,Null,Null
"Agnihotri School of Technology, Wardha",Wardha, Maharashtra,Private,   1.95 L,Null,Null,Null
"Agni School of Architecture and Design Excellence, Dindigul",Vadamadurai, Tamil Nadu,Private,Null,Null,Null,Null
"Agnos College of Technology, Bhopal",Bhopal, Madhya Pradesh,Private,Null,B.E /B.Tech (4 Courses),M.E /M.Tech. (2 Courses),Null
"AG Patil Institute of Technology, Solapur",Solapur, Maharashtra,Private,Null,B.E /B.Tech (4 Courses),Null,4.5/5
"AG Patil Polytechnic Institute, Solapur",Solapur, Maharashtra,Private,   2.13 L,Null,Null,Null
"Agra College, Agra",Agra, Uttar Pradesh,Government,Null,Null,Null,3.8/5
"Agrasen Polytechnic College, Balod",Balod, Chhattisgarh,Private,Null,Null,Null,Null
"Agrawal PG College, Jaipur",Jaipur, Rajasthan,Private,   13 K,Null,Null,3.5/5
"Agricultural College and Research Institute, Tamil Nadu Agricultural University, Coimbatore",Coimbatore, Tamil Nadu,Government,Null,Null,Null,4.0/5
"Agricultural Engineering College and Research Institute, Coimbatore",Coimbatore, Tamil Nadu,Government,Null,B.E /B.Tech (3 Courses),M.E /M.Tech. (5 Courses),4.5/5
"Agricultural Engineering College and Research Institute, Kumulur",Kumulur, Tamil Nadu,Government,Null,Null,Null,5.0/5
"Agurchand Manmull Jain College, Chennai",Chennai, Tamil Nadu,Private,Null,Null,Null,3.8/5
"Ahalia School of Engineering and Technology, Palakkad",Palakkad, Kerala,Private,   3.28 L,B.E /B.Tech (5 Courses),Null,4.0/5
"Ahinsa Institute of Technology, Dhule",Dondaicha, Maharashtra,Private,Null,Null,Null,Null
"Ahmedabad Institute of Technology, Ahmedabad",Ahmedabad, Gujarat,Private,Null,B.E /B.Tech (10 Courses),M.E /M.Tech. (2 Courses),3.7/5
"Ahmedabad University - Ahmedabad University, Ahmedabad",Ahmedabad, Gujarat,Private,   3.50 L,B.E /B.Tech (4 Courses),M.E /M.Tech. (3 Courses),4.6/5
"AISECT Institute of Science and Technology, Bhopal",Bhopal, Madhya Pradesh,Private,   1.88 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (7 Courses),Null
"AISECT University, Hazaribagh",Hazaribagh, Jharkhand,Private,Null,Null,Null,4.4/5
"Aishwarya College of Engineering and Technology, Erode",Paruvachi, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Aishwarya Polytechnic College, Paruvachi",Paruvachi, Tamil Nadu,Private,Null,Null,Null,Null
"AISSMS COE Pune - AISSMS College of Engineering, Pune",Pune, Maharashtra,Private,   5.36 L,B.E /B.Tech (10 Courses),M.E /M.Tech. (7 Courses),4.0/5
"Aizza College of Engineering and Technology, Adilabad",Adilabad, Telangana,Private,Null,B.E /B.Tech (3 Courses),Null,4.4/5
"ABIT Cuttack - Ajay Binay Institute of Technology, Cuttack",Cuttack, Odisha,Private,Null,B.E /B.Tech (6 Courses),Null,2.8/5
"AKGEC Ghaziabad - Ajay Kumar Garg Engineering College, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,   4.78 L,B.E /B.Tech (12 Courses),M.E /M.Tech. (4 Courses),3.9/5
"Ajeenkya DY Patil School of Engineering, Pune",Pune, Maharashtra,Private,   4.23 L,B.E /B.Tech (6 Courses),Null,4.1/5
